title,body,ticket_type,category,sub_category1,sub_category2,business_service,urgency,impact,cleaned_description
outlook issue,issue hi helped solving issues with,0,Technical,14,111,32,2,3,issue hi helped solving issue
laptop start,sent tuesday laptop started dear please log ticket for help laptop issue started please assign ticket queue thanks engineer ext,0,Technical,13,30,32,1,3,sent tuesday laptop started dear please log ticket help laptop issue started please assign ticket queue thanks engineer ext
outlook issues,sent thursday february unable access laptop hi longer enable laptop was working fine until yesterday afternoon then get error below able access android phone without any problems have tried connecting when connected when connected directly with proxy setting but still receive same error thanks,0,Login,21,1,36,2,3,sent thursday february unable access laptop hi longer enable laptop working fine yesterday afternoon get error able access android phone without problem tried connecting connected connected directly proxy setting still receive error thanks
missing time entry,sent wednesday december entry hello have receiving regarding entry for friday july st though believe unit was using sheets started following monday july th here snapshot specific message however allow submit entry for below you ll have entered but button submit allow enter any for previous days using codes use your assistance would be appreciated thanks software engineer,0,Technical,51,78,68,1,3,sent wednesday december entry hello receiving regarding entry friday july st though believe unit using sheet started following monday july th snapshot specific message however allow submit entry entered button submit allow enter previous day using code use assistance would appreciated thanks software engineer
lost badge,sent thursday october lost badge hello lost badge one used enter building please cancel old one nobody can further access building with looking fwd for your feedback when can pick up one best regards senior developer,0,Login,27,0,73,2,0,sent thursday october lost badge hello lost badge one used enter building please cancel old one nobody access building looking fwd feedback pick one best regard senior developer
re issues,re issues hi please assign he requested card usage since experiencing issues thank engineer ext re issues hi thank raising too suffering because bandwidth issues bandwidth out moment expecting higher bandwidth process broadband sip trunk by chasing every written again moment insisting possible top priority also talked he provide card create helps least moment best director tuesday october issues hi experiencing serious issues affects work effectively release process client appreciate provide moment completely started personal phones thank cheers senior developer ext,1,Technical,13,7,32,3,4,issue hi please assign requested card usage since experiencing issue thank engineer ext issue hi thank raising suffering bandwidth issue bandwidth moment expecting higher bandwidth process broadband sip trunk chasing every written moment insisting possible top priority also talked provide card create help least moment best director tuesday october issue hi experiencing serious issue affect work effectively release process client appreciate provide moment completely started personal phone thank cheer senior developer ext
charger borrowed,thursday pm charger borrowed hi inform borrowed charger yesterday return tomorrow kind regards specialist,1,Billing,13,7,32,3,4,thursday pm charger borrowed hi inform borrowed charger yesterday return tomorrow kind regard specialist
broadcasting recording,re broadcasting recording please thank december re broadcasting recording hi involve believe make take care please add plan regards head please consider environment printing content communication classified confidential proprietary information content communication intended solely individual entity whom addressed others authorized receive intended recipient hereby notified disclosure copying taking action reliance contents information strictly prohibited unlawful received communication error please notify immediately by responding communication then delete integrity communication has maintained nor communication free viruses interceptions interference appreciate assistance preserving confidentiality correspondence thank broadcasting recording hi requests broadcasted recorded infrastructure assess venue concurs additional costs thanks head mob,1,Billing,15,105,63,3,4,broadcasting recording please thank december broadcasting recording hi involve believe make take care please add plan regard head please consider environment printing content communication classified confidential proprietary information content communication intended solely individual entity addressed others authorized receive intended recipient hereby notified disclosure copying taking action reliance content information strictly prohibited unlawful received communication error please notify immediately responding communication delete integrity communication maintained communication free virus interception interference appreciate assistance preserving confidentiality correspondence thank broadcasting recording hi request broadcasted recorded infrastructure assess venue concurs additional cost thanks head mob
internal audit admin accounts with password set to never expire,november pm accounts never expire hi noticed accounts never expire justifiable reason please apply policy these accounts noticed regular same way reason having configured way thanks,1,Login,2,0,4,3,4,november pm account never expire hi noticed account never expire justifiable reason please apply policy account noticed regular way reason configured way thanks
help needed,help needed hi please give rights table faces ctrl regards head please consider environment printing content communication classified confidential proprietary information content communication intended solely individual entity whom addressed others authorized receive intended recipient hereby notified disclosure copying taking action reliance contents information strictly prohibited unlawful received communication error please notify immediately by responding communication then delete integrity communication has maintained nor communication free viruses interceptions interference appreciate assistance preserving confidentiality correspondence thank,1,Technical,1,7,70,3,4,help needed hi please give right table face ctrl regard head please consider environment printing content communication classified confidential proprietary information content communication intended solely individual entity addressed others authorized receive intended recipient hereby notified disclosure copying taking action reliance content information strictly prohibited unlawful received communication error please notify immediately responding communication delete integrity communication maintained communication free virus interception interference appreciate assistance preserving confidentiality correspondence thank
importing issues into,friday pm importing issues dear client needs about bugs loaded please find attached please provide import won give him thank importing issues hi further messages way import these issues also permissions per thanks best regards technical,1,Technical,1,7,51,3,4,friday pm importing issue dear client need bug loaded please find attached please provide import give thank importing issue hi message way import issue also permission per thanks best regard technical
package specs for updates on the,tuesday december pm package specs updates importance high application engineer ext package specs updates importance high hi considering discussed priority updates evening sharing specs details everything related these updates smooth process stay closely touch next please give heads once progress updates priority listed thanks updates add release add item please add final touches listed item content about hero item path published add component content hero images item please image library item path library images hero mobile overview please attached image short description merger software engineering approximately employees give total combined circa employees across offices germany centres macedonia colombia update recent component added update component duplicate content item path content update recent component displayed rest items except update component latest item path content locations item path content about locations add location add location central create dedicated landing hero item path please add location name hero highlighted content hero images images were published library public holidays please attached document added notice won include phone number icons show part fixed yet create dedicated landing hero item path please add location name hero highlighted content hero images images were published library public holidays please attached document added square centre notice won include phone number icons show part fixed yet hero update item path content hero images updates were done component map locations displayed accordingly while changes locations were made everything shows expected about,1,Technical,3,21,99,3,4,tuesday december pm package spec update importance high application engineer ext package spec update importance high hi considering discussed priority update evening sharing spec detail everything related update smooth process stay closely touch next please give head progress update priority listed thanks update add release add item please add final touch listed item content hero item path published add component content hero image item please image library item path library image hero mobile overview please attached image short description merger software engineering approximately employee give total combined circa employee across office germany centre macedonia colombia update recent component added update component duplicate content item path content update recent component displayed rest item except update component latest item path content location item path content location add location add location central create dedicated landing hero item path please add location name hero highlighted content hero image image published library public holiday please attached document added notice include phone number icon show part fixed yet create dedicated landing hero item path please add location name hero highlighted content hero image image published library public holiday please attached document added square centre notice include phone number icon show part fixed yet hero update item path content hero image update done component map location displayed accordingly change location made everything show expected
replenish,tuesday dear purchased galaxy contingency id id please log replenishing stocks thanks thank administrator phone pm hello received galaxy galaxy po invoice please advise thank good engineer ext,1,Billing,13,60,32,3,4,tuesday dear purchased galaxy contingency id id please log replenishing stock thanks thank administrator phone pm hello received galaxy galaxy po invoice please advise thank good engineer ext
access to confluence,wednesday pm confluence hello because site log tried combined possible combinations turns out log thanks software developer,1,Technical,1,7,27,3,4,wednesday pm confluence hello site log tried combined possible combination turn log thanks software developer
no cube oracle test cannot be accessed,cube test cannot be accessed dear colleagues when trying access inquire analyze balances test get error second error can you please help thanks lot lead,0,Login,21,41,66,2,3,cube test cannot accessed dear colleague trying access inquire analyze balance test get error second error please help thanks lot lead
access card issues,sent tuesday access card hello could you kindly check access card reported able go out floor but able get back also able leave thanks kind regards infrastructure manager,0,Login,39,3,73,1,3,sent tuesday access card hello could kindly check access card reported able go floor able get back also able leave thanks kind regard infrastructure manager
automation list,automation hi which created yesterday looks accessible organization due about thanks date tuesday aw automation points hallo automated translation error has due authorization issue rejected by moderator receive mails certain senders further restriction prevents cheers re automation points error receive thanks date tuesday automation points hallo mailing seems work till tested two times cheers automation points moderator die mails die remote returned resolver authentication required id id via transport return path msg ref tower originating version banners checked by tower signature relaxed relaxed subject date id mime version by by he id by he id automation points thread topic automation points thread index date id he accept language content language has attach transport hosted originating content type boundary he mime version,1,Login,2,21,36,3,4,automation hi created yesterday look accessible organization due thanks date tuesday aw automation point hallo automated translation error due authorization issue rejected moderator receive mail certain sender restriction prevents cheer automation point error receive thanks date tuesday automation point hallo mailing seems work till tested two time cheer automation point moderator die mail die remote returned resolver authentication required id id via transport return path msg ref tower originating version banner checked tower signature relaxed relaxed subject date id mime version id id automation point thread topic automation point thread index date id accept language content language attach transport hosted originating content type boundary mime version
password reset for edwards and,thursday pm re hardware allocation has assigned importance high hello also user credentials load profile off site please kind regards,1,Technical,2,76,4,3,4,thursday pm hardware allocation assigned importance high hello also user credential load profile site please kind regard
please action missing time,tuesday november please action hello seems card issue solved because receive submit timecard period please advice next step thank regards please action dear part established processes each required submit his weekly basis each friday past must submitted receiving because haven followed process please action possible breakdown please log accordingly training materials available id by each wednesday past period then also notified country date total days,1,Technical,2,21,67,3,4,tuesday november please action hello seems card issue solved receive submit timecard period please advice next step thank regard please action dear part established process required submit weekly basis friday past must submitted receiving followed process please action possible breakdown please log accordingly training material available id wednesday past period also notified country date total day
double notifications being sent for high scores and,sent monday double being sent for high scores hello can you please fix bug generates be sent out for high satisfaction scores please keep one question values kind regards,0,Technical,21,0,56,2,3,sent monday double sent high score hello please fix bug generates sent high satisfaction score please keep one question value kind regard
connection to the client is unavailable,down between hi we cannot access any servers between seems be down can you please have look urgent because blocking entire thanks design lead ext,0,Login,21,1,26,1,2,hi cannot access server seems please look urgent blocking entire thanks design lead ext
customer service complete self assessment guide,saturday complete self assessment guide featuring updated based questions organized seven core areas process design self assessment help identify areas which improvements made self assessments buy certification about process architects expected benefits critical path deliver results social complain about issue how often feel complaint resolved by other areas organization benefit improvements knowledge learning how about comparing approaches defining designing creating implementing process solve challenge meet objective valuable role every organization talking single within process process implemented by humans combination two needs designed by complex enough perspective ask right questions capable asking right questions step back say accomplish different way more than twenty years self assessments empower title marketer entrepreneur salesperson consultant process etc rule future watch process happens ask right questions make process work better advisors consultants specialists professionals anyone interested assessment featuring updated based questions organized seven core areas process design self assessment help identify areas which improvements made questions better diagnose initiatives organizations businesses processes accepted diagnostic practices implement evidence based best strategies aligned overall goals integrate recent advances process design strategies according best guidelines self assessment tool known scorecard develop clear picture which areas attention included purchase instant downloadable self assessment downloadable resource containing questions self assessment areas provides ease re enables import questions preferred survey tool free self assessment contents presentations materials customers without asking help self assessment has approved by part lifelong learning self assessment program component certification more want help shoot make keep getting these please add book appreciate forwarding newsletters entirety part proper attribution issue forwarded begin receiving copy own please visit content published by determined by editors interest readers independent advertising sponsorships other considerations because registered respect privacy wish receive safely south pine road manage subscription,1,Technical,2,7,89,3,4,saturday complete self assessment guide featuring updated based question organized seven core area process design self assessment help identify area improvement made self assessment buy certification process architect expected benefit critical path deliver result social complain issue often feel complaint resolved area organization benefit improvement knowledge learning comparing approach defining designing creating implementing process solve challenge meet objective valuable role every organization talking single within process process implemented human combination two need designed complex enough perspective ask right question capable asking right question step back say accomplish different way twenty year self assessment empower title marketer entrepreneur salesperson consultant process etc rule future watch process happens ask right question make process work better advisor consultant specialist professional anyone interested assessment featuring updated based question organized seven core area process design self assessment help identify area improvement made question better diagnose initiative organization business process accepted diagnostic practice implement evidence based best strategy aligned overall goal integrate recent advance process design strategy according best guideline self assessment tool known scorecard develop clear picture area attention included purchase instant downloadable self assessment downloadable resource containing question self assessment area provides ease enables import question preferred survey tool free self assessment content presentation material customer without asking help self assessment approved part lifelong learning self assessment program component certification want help shoot make keep getting please add book appreciate forwarding newsletter entirety part proper attribution issue forwarded begin receiving copy please visit content published determined editor interest reader independent advertising sponsorship consideration registered respect privacy wish receive safely south pine road manage subscription
retrieve old device,purchase po dear purchased received items grey updated include device under user name link please add allocation device thanks please log retrieve old device please take consideration mandatory receipts section order receive item ordered how video explorer please make return old device back accessories left receive receive old device take off user name kind regards administrator,1,Login,13,87,32,3,4,purchase po dear purchased received item grey updated include device user name link please add allocation device thanks please log retrieve old device please take consideration mandatory receipt section order receive item ordered video explorer please make return old device back accessory left receive receive old device take user name kind regard administrator
,tuesday pm dear writing report problem client namely connect fails owned addition provide log file built enter socket listening hold release interface waiting client connected log hold off hold release warning certificate verification method has more note script setting allow configuration call user defined scripts client disconnected cannot load certificate certificate store error cannot find object exiting due fatal error please advise thank developer,1,Technical,2,7,65,3,4,tuesday pm dear writing report problem client namely connect fails owned addition provide log file built enter socket listening hold release interface waiting client connected log hold hold release warning certificate verification method note script setting allow configuration call user defined script client disconnected cannot load certificate certificate store error cannot find object exiting due fatal error please advise thank developer
borrowed charger,thursday borrowed charger hello please assign queue borrowed charger kindly ask return charger after finished thank engineer ext,1,Billing,13,7,32,3,4,thursday borrowed charger hello please assign queue borrowed charger kindly ask return charger finished thank engineer ext
document purchase order requisition implemented,document purchase order requisition implemented dear purchased received items galaxy locked red mobile subscription red mobile subscription updated include device under user name please add installing device thanks kind regards administrator tuesday pm document purchase order requisition implemented task application document purchase order requisition implemented details assignee assigned date expiration date task number sold entity order buyer ordered approximately nonrecoverable tax justification order details supplier supplier site site location center supplier order description note supplier requisitioning requisition requester cost center attachments po,1,Billing,13,7,32,3,4,document purchase order requisition implemented dear purchased received item galaxy locked red mobile subscription red mobile subscription updated include device user name please add installing device thanks kind regard administrator tuesday pm document purchase order requisition implemented task application document purchase order requisition implemented detail assignee assigned date expiration date task number sold entity order buyer ordered approximately nonrecoverable tax justification order detail supplier supplier site site location center supplier order description note supplier requisitioning requisition requester cost center attachment po
live unable to restore access to account,unable restore access hi dear could you please raise request assign thank you best wishes engineer en sent wednesday unable restore access message contact administrators was unable with domain credentials when trying restore reset password arrive please let know how can restore access thanks message was sent by logo,0,Login,21,1,51,2,3,unable restore access hi dear could please raise request assign thank best wish engineer en sent wednesday unable restore access message contact administrator unable domain credential trying restore reset password arrive please let know restore access thanks message sent logo
leaver account disabling only tower,wednesday pm leaver tickets hi guys please assist possible leaver tickets yet except disable today therefore kindly back confirmation closing query thank kind regards analyst ext tuesday leaver form leave date location tower hello leaver form has filled by name leaving date location tower ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details planned comments needed tickets automatically logged best regards,1,Login,2,51,4,3,4,wednesday pm leaver ticket hi guy please assist possible leaver ticket yet except disable today therefore kindly back confirmation closing query thank kind regard analyst ext tuesday leaver form leave date location tower hello leaver form filled name leaving date location tower ad forwarder leaver mailbox leaver roaming profile leaver ad right personal mailbox approver leaver right inventory storage required information name work location detail floor seat leaver leaver token leaver mobile phone subscription leaver commercial account leaver detected changed automatic approver backup pm purchase coordinator approver approver approver approver discipline responsible leaver leaver leaver leaver leaver number leaver extension leaving detail planned comment needed ticket automatically logged best regard
oracle error,sent wednesday march error hello please find attached error message receive when trying reject absence request thank you assistant sent tuesday march error hello could you kindly ask your colleagues send with error attached we could log incident for each them thank you kind regards rare analyst ext hub sent tuesday march error hi thank you for your seems like we have another error other colleagues charge approve timecards please attached already discussed with about error maybe she can help with thank you very much assistant,0,Billing,21,41,68,1,3,sent wednesday march error hello please find attached error message receive trying reject absence request thank assistant sent tuesday march error hello could kindly ask colleague send error attached could log incident thank kind regard rare analyst ext hub sent tuesday march error hi thank seems like another error colleague charge approve timecard please attached already discussed error maybe help thank much assistant
new starter tower,thursday november pm assistants good afternoon dear please informed interns testing discipline accepted become employees november tester november tester please disable accounts change status per attached forms thank sorry short notice evening officer,1,Login,2,94,40,3,4,thursday november pm assistant good afternoon dear please informed intern testing discipline accepted become employee november tester november tester please disable account change status per attached form thank sorry short notice evening officer
video capabilities bucharest,video capabilities hello help best video technical solution custom setup secluded thank tuesday re video capabilities based video calling vc various teams video conferences video mix best specify type collaboration re looking rather than limiting solution video think options provide vc make video call while supporting secondary input allow users view thin client potential solution based how interpreting re accomplish discuss further return note because infra certain more experimental supportable other locations pm re video capabilities hi necessarily looking readily available solution solution understand solution similar thanks pm re video capabilities unfortunately readily available solution offices built thin client telephony video supported pm video capabilities hi currently rooms currently large tv zero clients these rooms video requirement video these rooms via while please let best solution thanks disclaimer contain confidential privileged information intended recipient received error please notify immediately destroy delete hereby notified unauthorized copying disclosure material strictly prohibited communication informational purposes intended offer solicitation purchase sale instrument official confirmation transaction information contained communication warranted completeness accuracy subject change without notice comments statements made communication necessarily reflect affiliates,1,Billing,22,7,32,3,4,video capability hello help best video technical solution custom setup secluded thank tuesday video capability based video calling vc various team video conference video mix best specify type collaboration looking rather limiting solution video think option provide vc make video call supporting secondary input allow user view thin client potential solution based interpreting accomplish discus return note infra certain experimental supportable location pm video capability hi necessarily looking readily available solution solution understand solution similar thanks pm video capability unfortunately readily available solution office built thin client telephony video supported pm video capability hi currently room currently large tv zero client room video requirement video room via please let best solution thanks disclaimer contain confidential privileged information intended recipient received error please notify immediately destroy delete hereby notified unauthorized copying disclosure material strictly prohibited communication informational purpose intended offer solicitation purchase sale instrument official confirmation transaction information contained communication warranted completeness accuracy subject change without notice comment statement made communication necessarily reflect affiliate
issues with,sent friday va sa software tester mob en ext your zone,0,Technical,12,0,65,1,3,sent friday va sa software tester mob en ext zone
new starter hardware allocation bogota,july completed importance high dear please find attached completed joining columbia sorry short notice appreciate help accounts accesses by today working thank much administration officer,1,Login,13,94,32,3,4,july completed importance high dear please find attached completed joining columbia sorry short notice appreciate help account access today working thank much administration officer
outlook is down ny,sent tuesday march re down ny meetings morning quite frankly have call number there way have escalated via regards sent tuesday march re down ny please make you type full for also if there something urgent forget use phone number sent for also signature below phone number thanks senior engineer ext upcoming days off march phone number date tuesday march down ny hello app appears be working for everyone currently ny while able access through another one colleagues cannot access says does have permissions view even through explorer bit urgent issue would appreciate speedy response regards,0,Login,51,11,36,0,3,sent tuesday march ny meeting morning quite frankly call number way escalated via regard sent tuesday march ny please make type full also something urgent forget use phone number sent also signature phone number thanks senior engineer ext upcoming day march phone number date tuesday march ny hello app appears working everyone currently ny able access another one colleague cannot access say permission view even explorer bit urgent issue would appreciate speedy response regard
windows upgrade issue,re upgrade issue hi encountered issue when tried install upgrade update cannot stop installing previous update upgrade cancel button working please advise how should proceed order update os attached for more details regards senior tester sent thursday upgrade issue hello regarding upgrade issue you having please look software center for operating job called upgrade run when you have should upgrade your version without problems let know if you upgrade operating section software center or if you need additional help with regards senior engineer en,0,Technical,14,111,100,2,3,upgrade issue hi encountered issue tried install upgrade update cannot stop installing previous update upgrade cancel button working please advise proceed order update o attached detail regard senior tester sent thursday upgrade issue hello regarding upgrade issue please look software center operating job called upgrade run upgrade version without problem let know upgrade operating section software center need additional help regard senior engineer en
access issues,sent october access issues dear password expired while she was vacation after arriving back changing her password she unable access etc please assist her solving issue best regards senior software developer en,0,Login,51,11,36,0,3,sent october access issue dear password expired vacation arriving back changing password unable access etc please assist solving issue best regard senior software developer en
pas code view,wednesday pm re code view approved thanks code view hi please give view update codes thanks technical programme annual leave notice,1,Technical,2,21,70,3,4,wednesday pm code view approved thanks code view hi please give view update code thanks technical programme annual leave notice
password reset snow template,password reset snow template hello can you please assist with checking password reset template every used today ticket but only summary was completed with password reset everything be completed manually categories if would be only template thanks analyst pl,0,Login,21,23,56,2,3,password reset snow template hello please assist checking password reset template every used today ticket summary completed password reset everything completed manually category would template thanks analyst pl
failure when to modify or run job,failure when modify or run job have good dear colleagues after doing some tests for projects integration we figured out we have make some modifications jobs for downstream projects shows following error same error was shown when trying run job displaying error follows thanks advice for your help best regards software tester,0,Technical,21,41,49,1,3,failure modify run job good dear colleague test project integration figured make modification job downstream project show following error error shown trying run job displaying error follows thanks advice help best regard software tester
aging report issue,re aging report issue hi please assign reports senior engineer pm re aging report issue hi please help by checking aged debtors report cannot reconcile please review tab ageing raw tab example report has total unapplied receipts total downloaded transaction report matched entries noticing difference receipt unapplied please red unapplied receipt visible aged debtors report more details please let best regards senior accountant ext pm aging report issue senior accountant ext july pm re aging report issue ca senior accountant ext friday july pm re aging report issue si vine la si ca pun senior engineer friday july pm re aging report issue hi please assign thanks senior engineer friday july re aging report issue maybe help thanks tuesday july aging report issue hi aging report calculating unapplied receipts incorrectly record receipts close raised cad by cross transactions report calculates difference invoice cad receipt please investigate cannot reconcile thank senior accountant ext,1,Login,3,21,66,3,4,aging report issue hi please assign report senior engineer pm aging report issue hi please help checking aged debtor report cannot reconcile please review tab ageing raw tab example report total unapplied receipt total downloaded transaction report matched entry noticing difference receipt unapplied please red unapplied receipt visible aged debtor report detail please let best regard senior accountant ext pm aging report issue senior accountant ext july pm aging report issue ca senior accountant ext friday july pm aging report issue si vine la si ca pun senior engineer friday july pm aging report issue hi please assign thanks senior engineer friday july aging report issue maybe help thanks tuesday july aging report issue hi aging report calculating unapplied receipt incorrectly record receipt close raised cad cross transaction report calculates difference invoice cad receipt please investigate cannot reconcile thank senior accountant ext
oracle issue,sent monday issue hello have problem have task for attached can you please help,0,Technical,21,41,67,1,3,sent monday issue hello problem task attached please help
access th floor area,wednesday floor area hello please floor area working thank senior accountant ext registered st floor registration vat,1,Login,1,7,73,3,4,wednesday floor area hello please floor area working thank senior accountant ext registered st floor registration vat
pas staff missing review cost by pm dashboard,tuesday november pm review cost by pm dashboard hi per instruction please help adjust review cost by pm dashboard code please note members report correctly displayed report forecast more details pics enclosed thank november maternity cover dear probably officially maternity leave please usual directed querying cost items recognition building deal dedicated working alongside pm community enhance capability growth take especially building knowledge functionality immediate future relevant teams attempting possible issues resolved future months period cannot addressed straight away setup client setup changes attributes human roles rights setup pipeline opportunity setup forward appropriate teams please structure subject header identify which question allow quickly tickets forward appropriate teams again backlog issues resolve accordingly planning analysis process forecasting budgeting principles guidance ad hoc bid information requirements feedback costs etc relatively seeking expand reducing size while maternity stretched please manage expectations resolution response times rollout transition manage phase well finally urgent please leading absence escalation forward returning own attend hoping everything running smoothly return bye bye,1,Billing,1,7,70,3,4,tuesday november pm review cost pm dashboard hi per instruction please help adjust review cost pm dashboard code please note member report correctly displayed report forecast detail pic enclosed thank november maternity cover dear probably officially maternity leave please usual directed querying cost item recognition building deal dedicated working alongside pm community enhance capability growth take especially building knowledge functionality immediate future relevant team attempting possible issue resolved future month period cannot addressed straight away setup client setup change attribute human role right setup pipeline opportunity setup forward appropriate team please structure subject header identify question allow quickly ticket forward appropriate team backlog issue resolve accordingly planning analysis process forecasting budgeting principle guidance ad hoc bid information requirement feedback cost etc relatively seeking expand reducing size maternity stretched please manage expectation resolution response time rollout transition manage phase well finally urgent please leading absence escalation forward returning attend hoping everything running smoothly return bye bye
update oracle fusion notifications for,pm re update hello referring entries please notice attachments responsible notified believe receive regarding her receive instead additional information needed please let thank kind regards senior software tester pm update hi please provide print screen receiving details date code mentioned she were submit against code under valid taken consideration submission approved by by waiting how proceed query thank analyst ext hub,1,Technical,3,21,68,3,4,pm update hello referring entry please notice attachment responsible notified believe receive regarding receive instead additional information needed please let thank kind regard senior software tester pm update hi please provide print screen receiving detail date code mentioned submit code valid taken consideration submission approved waiting proceed query thank analyst ext hub
document purchase order requisition implemented,wednesday pm document purchase order requisition implemented dear purchased wireless mice please log installation kind regards administrator wednesday pm document purchase order requisition implemented task application document purchase order requisition implemented details assignee assigned date expiration date task number sold entity order buyer ordered nonrecoverable tax justification order details supplier supplier site site location old broad street supplier order description note supplier requisitioning requisition requester cost center attachments po,1,Billing,13,0,32,3,4,wednesday pm document purchase order requisition implemented dear purchased wireless mouse please log installation kind regard administrator wednesday pm document purchase order requisition implemented task application document purchase order requisition implemented detail assignee assigned date expiration date task number sold entity order buyer ordered nonrecoverable tax justification order detail supplier supplier site site location old broad street supplier order description note supplier requisitioning requisition requester cost center attachment po
new pas issue,sent friday hi problem getting costs for code could you please investigate matter kind regards,0,Billing,21,77,70,1,3,sent friday hi problem getting cost code could please investigate matter kind regard
fwd this as a possible or,friday july pm hi fwd possible thank regards date friday july re good transaction attached name advise respond back more details thank,1,Billing,2,7,89,3,4,friday july pm hi fwd possible thank regard date friday july good transaction attached name advise respond back detail thank
access to expenses app on mobile,sent thursday november access app mobile hi changed domain password have changed also app phone says can connect can you please advise how get connected regards director,0,Login,21,0,63,1,3,sent thursday november access app mobile hi changed domain password changed also app phone say connect please advise get connected regard director
rights to be able to log invoices,thursday pm re hi require preparer role entity she invoice received supplier addressed entity let done offer her assistance raising kind regards thursday re dear please rights log provide related assistance where possible thank wrote hi anyone help create looks allow requisitions other entities rather than also po details found thank head,1,Billing,1,7,68,3,4,thursday pm hi require preparer role entity invoice received supplier addressed entity let done offer assistance raising kind regard thursday dear please right log provide related assistance possible thank wrote hi anyone help create look allow requisition entity rather also po detail found thank head
invoice query,december pm invoice dear received invoice agreed expense find communication attached link projected expense key calc detailed explanation cost cheers december pm invoice hello received attached invoice almost months rd price way much higher than quote regarding discussed help shed light thanks,1,Billing,3,88,3,3,4,december pm invoice dear received invoice agreed expense find communication attached link projected expense key calc detailed explanation cost cheer december pm invoice hello received attached invoice almost month rd price way much higher quote regarding discussed help shed light thanks
error from client site,sent wednesday march error client site importance high hey cannot access client site have attached log with corresponding error please advise thanks,0,Login,32,0,65,1,3,sent wednesday march error client site importance high hey cannot access client site attached log corresponding error please advise thanks
import,import unit costs costs,1,Billing,3,7,72,3,4,import unit cost cost
excel crash,sent friday urgent issue excel crash importance high hi have excel file crash without recovery needing urgently can anyone help thanks officer address th floor blvd district,0,Technical,12,71,32,1,3,sent friday urgent issue excel crash importance high hi excel file crash without recovery needing urgently anyone help thanks officer address th floor blvd district
request has been assigned to it support notifications the its mailbox,sent friday request assigned hello could you please investigate why kind being sent mailbox we did receive them past started only few days ago let know if you need further details best regards incident manager annual leave notice sent friday request assigned hello please be advised record number assigned please review details take appropriate action reference number details assign ticket reference assignment request summary requested for contact address location center line manager additional comments or requirements sent friday locked hi locked after introducing password only one could you please assist kind regards assistant location access request please click following link kind regards ref msg,0,Login,21,77,56,2,3,sent friday request assigned hello could please investigate kind sent mailbox receive past started day ago let know need detail best regard incident manager annual leave notice sent friday request assigned hello please advised record number assigned please review detail take appropriate action reference number detail assign ticket reference assignment request summary requested contact address location center line manager additional comment requirement sent friday locked hi locked introducing password one could please assist kind regard assistant location access request please click following link kind regard ref msg
